Product Name,Price,Description,Image URL,Availability,Category,store name
No Name 2% M.F. Cottage Cheese  750 g,$6.50 ,No Description Available,https://digital.loblaws.ca/PCX/20823988_EA/en/1/6038313018_en_front_centre_marketing_1_GS1_Ecommerce_1200.png,In-stock,Dairy & Eggs,No Frills
President's Choice Hummus Chickpea Dip And Spread 454 g,$3.00 ,No Description Available,https://digital.loblaws.ca/PCX/20584098_EA/en/1/20584098_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
Maynards Sour Patch Kids,$2.99 ,No Description Available,https://digital.loblaws.ca/PCX/21545802_EA/en/1/21545802_en_front_v1_1200.png,In-stock,Snacks & Candy,No Frills
Yoplait Tubes Yogurt 1% M.F. Strawberry Banana & Fruit Punch 448 g,$2.75 ,No Description Available,https://digital.loblaws.ca/PCX/21547629_EA/en/1/21547629_enfr_front_1200.png,In-stock,Dairy & Eggs,No Frills
Green Giant Mixed Vegetables 750 g,$1.50 ,No Description Available,https://digital.loblaws.ca/PCX/21022268_EA/en/1/21022268_en_front_1200.png,In-stock,Fruits & Vegetables,No Frills
Fruite Berry Freeze Drink 2 l,$8.99 ,No Description Available,https://digital.loblaws.ca/PCX/21433564_EA/en/1/21433564_en_front_v3_1200.png,In-stock,Drinks,No Frills
Lactantia Cultured Unsalted Butter 4x113.5 g,$3.99 ,No Description Available,https://digital.loblaws.ca/PCX/20056675_EA/en/1/20056675_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
Frenchs Classic Yellow Prepared Mustard 550 ml,$9.63 ,No Description Available,https://digital.loblaws.ca/PCX/20170862_EA/en/1/20170862_enfr_front_1200.png,In-stock,Snacks & Candy,No Frills
null Chicken Drumstick $8.80/1kg $3.99/1lb,$8.99 ,No Description Available,https://digital.loblaws.ca/PCX/20654051_KG/en/1/20654051_en_front_1200.png,In-stock,Meat,No Frills
Liberte Greek 0% Yogurt,$1.79 ,No Description Available,https://digital.loblaws.ca/PCX/21305351_EA/en/1/21305351_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
Unico Chick Peas,$1.99 ,No Description Available,https://digital.loblaws.ca/PCX/20682748_EA/en/1/6780000279_en_front_centre_marketing_GS1_Ecommerce_1200.png,In-stock,Snacks & Candy,No Frills
Dare Veggie Crisps Cracker Chips All Dressed 100 g,$4.50 ,No Description Available,https://digital.loblaws.ca/PCX/21520207_EA/en/1/5565364575_enfr_front_centre_marketing_GS1_Marketing_1200.png,In-stock,Snacks & Candy,No Frills
CAVENDISH FARMS All-Day Breakfast Onion Hash Brown Patties 600 g,$5.00 ,No Description Available,https://digital.loblaws.ca/PCX/20730092_EA/en/1/20730092_enfr_front_v1_1200.png,In-stock,Frozen Foods,No Frills
Naya Natural Spring Water 24x500.0 ml,$3.50 ,No Description Available,https://digital.loblaws.ca/PCX/21631362_C24/en/1/21631362_en_front_1200.png,In-stock,Drinks,No Frills
Ziggy's Smoked Chicken Breast Slices 175 g,$5.49 ,No Description Available,https://digital.loblaws.ca/PCX/21590180_EA/en/1/21590180_enfr_front_v1_1200.png,In-stock,Meat,No Frills
Lantic Brilliant Yellow Sugar 2 kg,$21.02 ,No Description Available,https://digital.loblaws.ca/PCX/20077565_EA/en/1/20077565_en_front_1200.png,In-stock,Bakery,No Frills
Butcher's Choice Extra Lean Ground Beef,$11.50 ,No Description Available,https://digital.loblaws.ca/PCX/20357910_KG/en/1/20357910_en_front_1200.png,In-stock,Meat,No Frills
Kraft Smooth Peanut Butter 2 kg,$1.00 ,No Description Available,https://digital.loblaws.ca/PCX/20064825001_EA/en/1/20064825001_en_front_v2_1200.png,In-stock,Dairy & Eggs,No Frills
Sparkling Ice Kiwi Strawberry Sparkling Water 503 ml,$4.00 ,No Description Available,https://digital.loblaws.ca/PCX/20885450003_EA/en/1/20885450003_en_front_1200.png,In-stock,Drinks,No Frills
Christie CHIPS AHOY! Stranger Things Chewy Chocolatey Strawberry-Flavoured Filled Soft Cookies,$4.50 ,No Description Available,https://digital.loblaws.ca/PCX/21670732_EA/en/1/21670732_en_front_1200.png,In-stock,Snacks & Candy,No Frills
Imperial Non-Hydrogenated Margarine 427 g,$10.00 ,No Description Available,https://digital.loblaws.ca/PCX/20152424_EA/en/1/20152424_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
AQUAFINA Demineralized Treated Water 24x500.0 ml,$6.50 ,No Description Available,https://digital.loblaws.ca/PCX/20060827_C24/en/1/20060827_en_front_v1_1200.png,In-stock,Drinks,No Frills
President's Choice Roasted Garlic Hummus 454 g,$4.79 ,No Description Available,https://digital.loblaws.ca/PCX/20584213_EA/en/1/6038303583_enfr_front_centre_marketing_GS1_Ecommerce_1200.png,In-stock,Deli & fresh meals,No Frills
Pillsbury Sugar Cookies Ghost 260 g,$7.50 ,No Description Available,https://digital.loblaws.ca/PCX/21302025_EA/en/1/21302025_en_front_1200.png,In-stock,Snacks & Candy,No Frills
Yoplait Source 0% Smooth Traditional Yogurt Cups Variety Pack,$1.00 ,No Description Available,https://digital.loblaws.ca/PCX/20317317002_EA/en/1/20317317002_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
Sparkling Ice Peach Nectarine Sparkling Water 503 ml,$7.00 ,No Description Available,https://digital.loblaws.ca/PCX/21435670_EA/en/1/1657195771_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_1200.png,In-stock,Drinks,No Frills
President's Choice Vanilla Greek Yogurt 0% Club Size  1 kg,$8.00 ,No Description Available,https://digital.loblaws.ca/PCX/21518403_EA/en/1/21518403_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
Maple Leaf Extra Lean Ground Turkey 454 g,$3.99 ,No Description Available,https://digital.loblaws.ca/PCX/20811960_EA/en/1/20811960_enfr_front_v1_1200.png,In-stock,Meat,No Frills
Oikos Extra Creamy Greek Yogurt,$5.00 ,No Description Available,https://digital.loblaws.ca/PCX/21348922_EA/en/1/21348922_en_front_v1_1200.png,In-stock,Dairy & Eggs,No Frills
Dr Oetker Giuseppe Pizzeria Thin Crust Pepperoni Pizza 480 g,$5.99 ,No Description Available,https://digital.loblaws.ca/PCX/20904584_EA/en/1/20904584_en_front_1200.png,In-stock,Frozen foods,No Frills
Molinaro's Pizza Starter Kit,$1.49 ,No Description Available,https://digital.loblaws.ca/PCX/20344165_EA/en/1/20344165_en_front_1200.png,In-stock,Frozen foods,No Frills
Cedar Whole Wheat Lebanese-Style Pita Bread 330 g,$7.49 ,No Description Available,https://digital.loblaws.ca/PCX/21509333_EA/en/1/80536300003_enfr_front_centre_marketing_GS1_Ecommerce_1200.png,In-stock,Bakery,No Frills
President's Choice Extra Large Free Run Brown Eggs 12 ea,$3.99 ,No Description Available,https://digital.loblaws.ca/PCX/20813937001_EA/en/1/20813937001_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
GoodLeaf Cool Crisp Lettuce Baby Greens 0.113 kg,$3.99,No Description Available,https://digital.loblaws.ca/PCX/21560734_EA/en/1/21560734_en_front_1200.png,In-stock,Fresh Vegetables,No Frills
"Tim Hortons 100% Arabica Original Blend, Medium Roast, Ground Coffee, 875g","$2,799 ",No Description Available,https://m.media-amazon.com/images/I/713HpmPC9dL._AC_UL320_.jpg,In-stock,Dairy & Eggs,No Frills
"Lavazza Crema E Aroma Whole Bean Coffee Blend, Medium Roast, 1 kg Bag , Balanced medium roast with an intense, earthy flavor and long lasting crema, Non-GMO","$2,899 ",No Description Available,https://m.media-amazon.com/images/I/71ag2wdqedL._AC_UL320_.jpg,In-stock,Dairy & Eggs,No Frills
"Tim Hortons Decaf Coffee, Fine Grind Bag, Medium Roast, 300g","$1,177 ",No Description Available,https://m.media-amazon.com/images/I/71x0C+MbstL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Lavazza Crema E Gusto Whole Bean Coffee Dark Roast 1 kg Bag, Crema E Gusto ,Authentic Italian, Blended and roasted in Italy, Full-bodied dark roast with creamy and full-bodied, with spices notesbl, 1 kg (Pack of 1) packaging may vary","$3,196 ",No Description Available,https://m.media-amazon.com/images/I/51feQO+MQOL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Maxwell House Medium Original Roast Ground Coffee, 864 gr Tin","$1,797 ",No Description Available,https://m.media-amazon.com/images/I/71uG6Iux+PL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
Kicking Horse Coffee - Three Sisters Blend ;Ground 100% Arabica Coffee ; Medium Roast ; All Organic & Fairtrade ; 284 g,$997 ,No Description Available,https://m.media-amazon.com/images/I/610JoOTAYxL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"McCafé Premium Medium Dark Roast, Ground Coffee, 875g","$2,997 ",No Description Available,https://m.media-amazon.com/images/I/713WuEnFebL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Maxwell House Breakfast Blend Ground Coffee, 900 gr Tin","$1,797 ",No Description Available,https://m.media-amazon.com/images/I/71WXdXVj6GL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"STARBUCKS Maple Pecan Ground Coffee Bag, 311 g",$949 ,No Description Available,https://m.media-amazon.com/images/I/713lk5LcLQL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Starbucks Pike Place Roast Ground Coffee, Medium Roast, 793 Grams","$1,985 ",No Description Available,https://m.media-amazon.com/images/I/71qxYDOkp5L._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
McCafe Premium Medium Dark Roast K-Cup Coffee Pods,$35.99,No Description Available,https://m.media-amazon.com/images/I/81rqC5ImDnL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Tim Hortons 100% Arabica Original Blend, Medium Roast, Ground Coffee, 875g","$2,799 ",No Description Available,https://m.media-amazon.com/images/I/713HpmPC9dL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Nabob Traditional Fine Grind Ground Coffee, 930g","$2,499 ",No Description Available,https://m.media-amazon.com/images/I/81QQcKfJ5BL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Krispy Kreme Doughnuts Smooth House Roast Single Serve Keurig Certified K-Cup pods for Keurig brewers, 30 Count (Pack of 1)","$1,556 ",No Description Available,https://m.media-amazon.com/images/I/71waYRftDjL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Kicking Horse Coffee, Whole Bean, 1 lb - Certified Organic, Fairtrade, Kosher Coffee, Grizzly Claw - Dark Roast, 454 g (Pack of 1)","$2,000 ",No Description Available,https://m.media-amazon.com/images/I/61Mh7ytsPlL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Maxwell House Original Roast Instant Coffee, 150 g Jar",$497 ,No Description Available,https://m.media-amazon.com/images/I/71UOKAZwj3L._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Lavazza Crema E Aroma Whole Bean Coffee Blend, Medium Roast, 1 kg Bag , Balanced medium roast with an intense, earthy flavor and long lasting crema, Non-GMO","$2,899 ",No Description Available,https://m.media-amazon.com/images/I/71ag2wdqedL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Tim Hortons Original Coffee, Fine Grind Bag, Medium Roast, 300g","$1,099 ",No Description Available,https://m.media-amazon.com/images/I/71kiPD1aKPL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Maxwell House Rich Dark Roast Ground Coffee, 900 g Canister","$1,797 ",No Description Available,https://m.media-amazon.com/images/I/71NtPbOx-eL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"NESCAFÉ Taster's Choice Classic Instant Coffee, 100g",$797 ,No Description Available,https://m.media-amazon.com/images/I/71ZJ6QsEaUL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Oro Whole Bean Coffee Blend, Medium Roast, 1kg Bag (1 Pack)","$3,399 ",No Description Available,https://m.media-amazon.com/images/I/71Wj2Hs6FyL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Blume Superfood Latte - Reishi Hot Cacao Powder, Mushroom Powder, Soothing Superfoods, Latte with Brain support, Organic Cocoa Mushroom Coffee Enhancer - Organic, Vegan And Keto Friendly - 25 Servings - Canadian Brand - As Seen on Dragons' Den","$2,499 ",No Description Available,https://m.media-amazon.com/images/I/716I+XfP3tL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Blume Latte Variety Pack | Blue Lavender Tea to Calm, Reishi Hot Cacao to Soothe, Matcha Green Tea for Energy, Salted Caramel to Savor - Made in Canada, Organic, Vegan, Keto-Friendly, Hot/Cold Beverages - 32 Servings","$4,999 ",No Description Available,https://m.media-amazon.com/images/I/61Z2qxpC9OL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Lavazza Organic Tierra Whole Bean Coffee Blend - Light Roast, Premium Arabica Beans - 1KG Bag","$3,499 ",No Description Available,https://m.media-amazon.com/images/I/71YehK1prwL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Nescafé Rich, Instant Coffee, 475g Tin, Brown (Package May Vary)","$1,597 ",No Description Available,https://m.media-amazon.com/images/I/71Abx-0sXxL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
STARBUCKS French Roast Dark Roast Ground Coffee 340g Bag,$999 ,No Description Available,https://m.media-amazon.com/images/I/71UWqZwPlgL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Lavazza Crema E Gusto Ground Coffee Blend, Espresso Dark Roast, 250 g Brick - Authentic Italian, Blended And Roasted in Italy, Non GMO, Full bodied with rich aftertaste",$799 ,No Description Available,https://m.media-amazon.com/images/I/71BUS5EXKfL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Maxwell House House Blend Coffee Certified Compostable K-Cup Coffee Pods, 60 Pods","$2,679 ",No Description Available,https://m.media-amazon.com/images/I/71Vf6kr1Y9L._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Starbucks Caffe Verona Whole Bean Dark Roast Coffee, 907 gram","$2,154 ",No Description Available,https://m.media-amazon.com/images/I/71v1JFPObfL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Tim Hortons Original Coffee blend, Single Serve Keurig K-Cup Pods, Medium Roast, 48 Count","$3,999 ",No Description Available,https://m.media-amazon.com/images/I/81WZaCM5gdL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
"Nabob Dark Bold Roast Full City Dark Ground Coffee, 340g Canister","$1,347 ",No Description Available,https://m.media-amazon.com/images/I/81lS9ztowcL._AC_UL320_.jpg,In-stock,Dairy & Eggs,Sobeys
